"s","design_x","design_y","description"
,1,1,Wall
,1,2,Wall
,1,3,Wall
,1,4,Wall
,1,5,Wall
,1,6,Wall
,1,7,Wall
,1,8,Wall
,1,9,Wall
,1,10,Wall
,1,11,Wall
,1,12,Wall
,1,13,Wall
,1,14,Wall
,1,15,Wall
,1,16,Wall
,1,17,Wall
,1,18,Wall
,1,19,Wall
,1,20,Wall
,1,21,Wall
,1,22,Wall
,1,23,Wall
,1,24,Wall
,1,25,Wall
,1,26,Wall
,1,27,Wall
,1,28,Wall
,1,29,Wall
,1,30,Wall
,1,31,Wall
,1,32,Wall
,1,33,Wall
,1,34,Wall
,1,35,Wall
,1,36,Wall
,1,37,Wall
,1,38,Wall
,1,39,Wall
,1,40,Wall
,1,41,Wall
,1,42,Wall
,1,43,Wall
,1,44,Wall
,1,45,Wall
,1,46,Wall
,1,47,Wall
,1,48,Wall
,1,49,Wall
,1,50,Wall
,1,51,Wall
,1,52,Wall
,1,53,Wall
,1,54,Wall
,1,55,Wall
,1,56,Wall
,1,57,Wall
,1,58,Wall
,1,59,Wall
,1,60,Wall
,1,61,Wall
,1,62,Crossable
,1,63,Crossable
,1,64,Crossable
,1,65,Crossable
,1,66,Crossable
,1,67,Crossable
,1,68,Wall
,1,69,Wall
,1,70,Wall
,1,71,Wall
,1,72,Wall
,1,73,Wall
,1,74,Wall
,1,75,Wall
,1,76,Wall
,1,77,Wall
,1,78,Wall
,1,79,Wall
,1,80,Wall
,1,81,Wall
,1,82,Wall
,1,83,Wall
,1,84,Wall
,1,85,Wall
,1,86,Wall
,1,87,Wall
,1,88,Wall
,1,89,Wall
,1,90,Wall
,1,91,Wall
,1,92,Wall
,1,93,Wall
,1,94,Wall
,1,95,Wall
,1,96,Wall
,1,97,Wall
,1,98,Wall
,1,99,Wall
,1,100,Wall
,1,101,Wall
,1,102,Wall
,1,103,Wall
,1,104,Wall
,1,105,Wall
,1,106,Wall
,1,107,Wall
,1,108,Wall
,2,1,Wall
,2,2,Wall
,2,3,Wall
,2,4,Wall
,2,5,Wall
,2,6,Wall
,2,7,Wall
,2,8,Wall
,2,9,Wall
,2,10,Wall
,2,11,Wall
,2,12,Wall
,2,13,Wall
,2,14,Wall
,2,15,Wall
,2,16,Wall
,2,17,Wall
,2,18,Wall
,2,19,Wall
,2,20,Wall
,2,21,Wall
,2,22,Wall
,2,23,Wall
,2,24,Wall
,2,25,Wall
,2,26,Wall
,2,27,Wall
,2,28,Wall
,2,29,Wall
,2,30,Wall
,2,31,Wall
,2,32,Wall
,2,33,Wall
,2,34,Wall
,2,35,Wall
,2,36,Wall
,2,37,Wall
,2,38,Wall
,2,39,Wall
,2,40,Wall
,2,41,Wall
,2,42,Wall
,2,43,Wall
,2,44,Wall
,2,45,Wall
,2,46,Wall
,2,47,Wall
,2,48,Wall
,2,49,Wall
,2,50,Wall
,2,51,Wall
,2,52,Wall
,2,53,Wall
,2,54,Wall
,2,55,Wall
,2,56,Wall
,2,57,Wall
,2,58,Wall
,2,59,Wall
,2,60,Wall
,2,61,Wall
,2,62,Crossable
,2,63,Crossable
,2,64,Crossable
,2,65,Crossable
,2,66,Crossable
,2,67,Crossable
,2,68,Wall
,2,69,Wall
,2,70,Wall
,2,71,Wall
,2,72,Wall
,2,73,Wall
,2,74,Wall
,2,75,Wall
,2,76,Wall
,2,77,Wall
,2,78,Wall
,2,79,Wall
,2,80,Wall
,2,81,Wall
,2,82,Wall
,2,83,Wall
,2,84,Wall
,2,85,Wall
,2,86,Wall
,2,87,Wall
,2,88,Wall
,2,89,Wall
,2,90,Wall
,2,91,Wall
,2,92,Wall
,2,93,Wall
,2,94,Wall
,2,95,Wall
,2,96,Wall
,2,97,Wall
,2,98,Wall
,2,99,Wall
,2,100,Wall
,2,101,Wall
,2,102,Wall
,2,103,Wall
,2,104,Wall
,2,105,Wall
,2,106,Wall
,2,107,Wall
,2,108,Wall
,3,1,Wall
,3,2,Wall
,3,3,Crossable
,3,4,Crossable
,3,5,Crossable
,3,6,Crossable
,3,7,Crossable
,3,8,Crossable
,3,9,Crossable
,3,10,Crossable
,3,11,Crossable
,3,12,Crossable
,3,13,Crossable
,3,14,Crossable
,3,15,Crossable
,3,16,Crossable
,3,17,Crossable
,3,18,Crossable
,3,19,Crossable
,3,20,Crossable
,3,21,Crossable
,3,22,Crossable
,3,23,Crossable
,3,24,Crossable
,3,25,Crossable
,3,26,Crossable
,3,27,Crossable
,3,28,Crossable
,3,29,Crossable
,3,30,Crossable
,3,31,Crossable
,3,32,Crossable
,3,33,Crossable
,3,34,Crossable
,3,35,Crossable
,3,36,Crossable
,3,37,Crossable
,3,38,Crossable
,3,39,Crossable
,3,40,Crossable
,3,41,Crossable
,3,42,Crossable
,3,43,Crossable
,3,44,Crossable
,3,45,Crossable
,3,46,Crossable
,3,47,Crossable
,3,48,Crossable
,3,49,Crossable
,3,50,Crossable
,3,51,Crossable
,3,52,Crossable
,3,53,Crossable
,3,54,Crossable
,3,55,Crossable
,3,56,Wall
,3,57,Wall
,3,58,Crossable
,3,59,Crossable
,3,60,Crossable
,3,61,Crossable
,3,62,Crossable
,3,63,Crossable
,3,64,Crossable
,3,65,Crossable
,3,66,Crossable
,3,67,Crossable
,3,68,Crossable
,3,69,Crossable
,3,70,Crossable
,3,71,Crossable
,3,72,Wall
,3,73,Wall
,3,74,Crossable
,3,75,Crossable
,3,76,Crossable
,3,77,Crossable
,3,78,Crossable
,3,79,Crossable
,3,80,Crossable
,3,81,Crossable
,3,82,Crossable
,3,83,Crossable
,3,84,Crossable
,3,85,Crossable
,3,86,Crossable
,3,87,Crossable
,3,88,Crossable
,3,89,Crossable
,3,90,Crossable
,3,91,Crossable
,3,92,Crossable
,3,93,Crossable
,3,94,Crossable
,3,95,Crossable
,3,96,Crossable
,3,97,Crossable
,3,98,Crossable
,3,99,Crossable
,3,100,Crossable
,3,101,Crossable
,3,102,Crossable
,3,103,Crossable
,3,104,Crossable
,3,105,Crossable
,3,106,Crossable
,3,107,Wall
,3,108,Wall
,4,1,Wall
,4,2,Wall
,4,3,Crossable
,4,4,Crossable
,4,5,Crossable
,4,6,Crossable
,4,7,Crossable
,4,8,Crossable
,4,9,Crossable
,4,10,Crossable
,4,11,Crossable
,4,12,Crossable
,4,13,Crossable
,4,14,Crossable
,4,15,Crossable
,4,16,Crossable
,4,17,Crossable
,4,18,Crossable
,4,19,Crossable
,4,20,Crossable
,4,21,Crossable
,4,22,Crossable
,4,23,Crossable
,4,24,Crossable
,4,25,Crossable
,4,26,Crossable
,4,27,Crossable
,4,28,Crossable
,4,29,Crossable
,4,30,Crossable
,4,31,Crossable
,4,32,Crossable
,4,33,Crossable
,4,34,Crossable
,4,35,Crossable
,4,36,Crossable
,4,37,Crossable
,4,38,Crossable
,4,39,Crossable
,4,40,Crossable
,4,41,Crossable
,4,42,Crossable
,4,43,Crossable
,4,44,Crossable
,4,45,Crossable
,4,46,Crossable
,4,47,Crossable
,4,48,Crossable
,4,49,Crossable
,4,50,Crossable
,4,51,Crossable
,4,52,Crossable
,4,53,Crossable
,4,54,Crossable
,4,55,Crossable
,4,56,Wall
,4,57,Wall
,4,58,Crossable
,4,59,Crossable
,4,60,Crossable
,4,61,Crossable
,4,62,Crossable
,4,63,Crossable
,4,64,Crossable
,4,65,Crossable
,4,66,Crossable
,4,67,Crossable
,4,68,Crossable
,4,69,Crossable
,4,70,Crossable
,4,71,Crossable
,4,72,Wall
,4,73,Wall
,4,74,Crossable
,4,75,Crossable
,4,76,Crossable
,4,77,Crossable
,4,78,Crossable
,4,79,Crossable
,4,80,Crossable
,4,81,Crossable
,4,82,Crossable
,4,83,Crossable
,4,84,Crossable
,4,85,Crossable
,4,86,Crossable
,4,87,Crossable
,4,88,Crossable
,4,89,Crossable
,4,90,Crossable
,4,91,Crossable
,4,92,Crossable
,4,93,Crossable
,4,94,Crossable
,4,95,Crossable
,4,96,Crossable
,4,97,Crossable
,4,98,Crossable
,4,99,Crossable
,4,100,Crossable
,4,101,Crossable
,4,102,Crossable
,4,103,Crossable
,4,104,Crossable
,4,105,Crossable
,4,106,Crossable
,4,107,Wall
,4,108,Wall
,5,1,Wall
,5,2,Wall
,5,3,Crossable
,5,4,Crossable
,5,5,Crossable
,5,6,Crossable
,5,7,Crossable
,5,8,Crossable
,5,9,Crossable
,5,10,Crossable
,5,11,Crossable
,5,12,Crossable
,5,13,Crossable
,5,14,Crossable
,5,15,Crossable
,5,16,Crossable
,5,17,Crossable
,5,18,Crossable
,5,19,Crossable
,5,20,Crossable
,5,21,Crossable
,5,22,Crossable
,5,23,Crossable
,5,24,Crossable
,5,25,Crossable
,5,26,Crossable
,5,27,Crossable
,5,28,Crossable
,5,29,Crossable
,5,30,Crossable
,5,31,Crossable
,5,32,Crossable
,5,33,Crossable
,5,34,Crossable
,5,35,Crossable
,5,36,Crossable
,5,37,Crossable
,5,38,Crossable
,5,39,Crossable
,5,40,Crossable
,5,41,Crossable
,5,42,Crossable
,5,43,Crossable
,5,44,Crossable
,5,45,Crossable
,5,46,Crossable
,5,47,Crossable
,5,48,Crossable
,5,49,Crossable
,5,50,Crossable
,5,51,Crossable
,5,52,Crossable
,5,53,Crossable
,5,54,Crossable
,5,55,Crossable
,5,56,Wall
,5,57,Wall
,5,58,Crossable
,5,59,Crossable
,5,60,Crossable
,5,61,Crossable
,5,62,Crossable
,5,63,Crossable
,5,64,Crossable
,5,65,Crossable
,5,66,Crossable
,5,67,Crossable
,5,68,Crossable
,5,69,Crossable
,5,70,Crossable
,5,71,Crossable
,5,72,Wall
,5,73,Wall
,5,74,Crossable
,5,75,Crossable
,5,76,Crossable
,5,77,Crossable
,5,78,Crossable
,5,79,Crossable
,5,80,Crossable
,5,81,Crossable
,5,82,Crossable
,5,83,Crossable
,5,84,Crossable
,5,85,Crossable
,5,86,Crossable
,5,87,Crossable
,5,88,Crossable
,5,89,Crossable
,5,90,Crossable
,5,91,Crossable
,5,92,Crossable
,5,93,Crossable
,5,94,Crossable
,5,95,Crossable
,5,96,Crossable
,5,97,Crossable
,5,98,Crossable
,5,99,Crossable
,5,100,Crossable
,5,101,Crossable
,5,102,Crossable
,5,103,Crossable
,5,104,Crossable
,5,105,Crossable
,5,106,Crossable
,5,107,Wall
,5,108,Wall
,6,1,Wall
,6,2,Wall
,6,3,Crossable
,6,4,Crossable
,6,5,Crossable
,6,6,Crossable
,6,7,Crossable
,6,8,Crossable
,6,9,Crossable
,6,10,Crossable
,6,11,Crossable
,6,12,Crossable
,6,13,Crossable
,6,14,Crossable
,6,15,Crossable
,6,16,Crossable
,6,17,Crossable
,6,18,Crossable
,6,19,Crossable
,6,20,Crossable
,6,21,Crossable
,6,22,Crossable
,6,23,Crossable
,6,24,Crossable
,6,25,Crossable
,6,26,Crossable
,6,27,Crossable
,6,28,Crossable
,6,29,Crossable
,6,30,Crossable
,6,31,Crossable
,6,32,Crossable
,6,33,Crossable
,6,34,Crossable
,6,35,Crossable
,6,36,Crossable
,6,37,Crossable
,6,38,Crossable
,6,39,Crossable
,6,40,Crossable
,6,41,Crossable
,6,42,Crossable
,6,43,Crossable
,6,44,Crossable
,6,45,Crossable
,6,46,Crossable
,6,47,Crossable
,6,48,Crossable
,6,49,Crossable
,6,50,Crossable
,6,51,Crossable
,6,52,Crossable
,6,53,Crossable
,6,54,Crossable
,6,55,Crossable
,6,56,Wall
,6,57,Wall
,6,58,Crossable
,6,59,Crossable
,6,60,Crossable
,6,61,Crossable
,6,62,Crossable
,6,63,Crossable
,6,64,Crossable
,6,65,Crossable
,6,66,Crossable
,6,67,Crossable
,6,68,Crossable
,6,69,Crossable
,6,70,Crossable
,6,71,Crossable
,6,72,Wall
,6,73,Wall
,6,74,Crossable
,6,75,Crossable
,6,76,Crossable
,6,77,Crossable
,6,78,Crossable
,6,79,Crossable
,6,80,Crossable
,6,81,Crossable
,6,82,Crossable
,6,83,Crossable
,6,84,Crossable
,6,85,Crossable
,6,86,Crossable
,6,87,Crossable
,6,88,Crossable
,6,89,Crossable
,6,90,Crossable
,6,91,Crossable
,6,92,Crossable
,6,93,Crossable
,6,94,Crossable
,6,95,Crossable
